,Batter,Country,No. of Innings,No. of Not Outs,Total Runs,Total Balls Faced,No. of Outs,Batting Average,Strike Rate,Balls Faced per Innings,Balls Faced per Wicket
2518,Shoaib Khan,Oman/Germany,17,3,240,210,14,17.14285714,114.2857143,12.35294118,15
2519,Shoaib Khan jnr,Pakistan,2,0,6,12,2,3,50,6,6
2520,Shoaib Malik,Pakistan/ICC World XI,104,32,2266,1789,72,31.47222222,126.6629402,17.20192308,24.84722222
2521,Shoriful Islam,Bangladesh,8,2,24,23,6,4,104.3478261,2.875,3.833333333
2522,Shubman Gill,India,11,1,304,206,10,30.4,147.5728155,18.72727273,20.6
2523,Shunan Ali,Maldives,1,1,11,23,0,11,47.82608696,23,inf
2524,Shuvagata Hom,Bangladesh,4,2,35,35,2,17.5,100,8.75,17.5
2525,Sidhant Singh,Singapore,9,2,178,135,7,25.42857143,131.8518519,15,19.28571429
2526,Sikandar Raza,Zimbabwe,61,3,1252,962,58,21.5862069,130.1455301,15.7704918,16.5862069
2527,Sikander Zulfiqar,Netherlands,6,0,41,41,6,6.833333333,100,6.833333333,6.833333333
2528,Sikder Billah,Bahrain,5,2,51,38,3,17,134.2105263,7.6,12.66666667
2529,Simandeep Singh,Hong Kong,7,2,33,32,5,6.6,103.125,4.571428571,6.4
2530,Simi Singh,Ireland,35,9,251,234,26,9.653846154,107.2649573,6.685714286,9
2531,Simranjit Singh,Italy,1,0,8,9,1,8,88.88888889,9,9
2532,Sirajullah Khadim,Portugal,7,2,64,69,5,12.8,92.75362319,9.857142857,13.8
2533,Sohag Gazi,Bangladesh,5,2,46,39,3,15.33333333,117.9487179,7.8,13
2534,Sohaib Maqsood,Pakistan,18,0,246,215,18,13.66666667,114.4186047,11.94444444,11.94444444
2535,Sohail Ahmad,Croatia,6,0,51,52,6,8.5,98.07692308,8.666666667,8.666666667
2536,Sohail Ahmed,Bahrain,15,5,529,404,10,52.9,130.9405941,26.93333333,40.4
2537,Sohail Khan,Pakistan,1,1,1,1,0,1,100,1,inf
2538,Sohail Tanvir,Pakistan,21,4,186,153,17,10.94117647,121.5686275,7.285714286,9
2539,Sohel Patel,Panama,4,0,51,58,4,12.75,87.93103448,14.5,14.5
2540,Sompal Kami,Nepal,20,4,214,193,16,13.375,110.880829,9.65,12.0625
2541,Soumya Sarkar,Bangladesh,70,2,1192,970,68,17.52941176,122.8865979,13.85714286,14.26470588
2542,Sufyan Mehmood,Oman,2,1,19,41,1,19,46.34146341,20.5,41
2543,Suhrawadi Shuvo,Bangladesh,1,1,1,3,0,1,33.33333333,3,inf
2544,Sukhkaran Sahi,Romania,1,0,1,2,1,1,50,2,2
2545,Sulaiman Ali,Bulgaria,10,1,139,130,9,15.44444444,106.9230769,13,14.44444444
2546,Sulaimon Runsewe,Nigeria,14,3,164,176,11,14.90909091,93.18181818,12.57142857,16
2547,Sultan Ahmed,United Arab Emirates/Oman,25,6,137,133,19,7.210526316,103.0075188,5.32,7
2548,Suman Ghimire,Portugal,5,2,84,64,3,28,131.25,12.8,21.33333333
2549,Suraj Kumar,Oman,10,2,114,100,8,14.25,114,10,12.5
2550,Surya Anand,Denmark,14,4,190,189,10,19,100.5291005,13.5,18.9
2551,Swann Htet Ko Ko,Myanmar,4,0,26,62,4,6.5,41.93548387,15.5,15.5
2552,Syazrul Idrus,Malaysia,8,3,31,31,5,6.2,100,3.875,6.2
2553,Syed Amanullah,Greece,1,1,11,13,0,11,84.61538462,13,inf
2554,Syed Aziz,Malaysia,46,8,1128,783,38,29.68421053,144.0613027,17.02173913,20.60526316
2555,Syed Maisam Ali,Portugal,3,2,26,20,1,26,130,6.666666667,20
2556,Syed Naqvi,Italy,1,0,1,2,1,1,50,2,2
2557,Syed Rasel,Bangladesh,2,0,7,9,2,3.5,77.77777778,4.5,4.5
2558,Syed Rehmatullah,Malaysia,1,1,1,2,0,1,50,2,inf
2559,Syed Tameem,Qatar,1,0,11,21,1,11,52.38095238,21,21
2560,T Banton,England,12,0,249,173,12,20.75,143.9306358,14.41666667,14.41666667
2561,T Bavuma,South Africa,31,2,633,545,29,21.82758621,116.146789,17.58064516,18.79310345
2562,T Bharaj,Denmark,20,2,459,392,18,25.5,117.0918367,19.6,21.77777778
2563,T Brown,Bahamas,4,0,18,57,4,4.5,31.57894737,14.25,14.25
2564,T Bukenya,Uganda,1,1,12,9,0,12,133.3333333,9,inf
2565,T Cross,Estonia,1,0,5,10,1,5,50,10,10
2566,T Filer,Estonia,4,0,12,17,4,3,70.58823529,4.25,4.25
2567,T Henderson,South Africa,1,0,0,2,1,0,0,2,2
2568,T Hewa,Cayman Islands,2,1,0,2,1,0,0,1,2
2569,T Jamtsho,Bhutan,8,1,176,157,7,25.14285714,112.1019108,19.625,22.42857143
2570,T Kahamker,Israel,1,1,1,1,0,1,100,1,inf
2571,T Kaisala,Samoa,4,1,64,73,3,21.33333333,87.67123288,18.25,24.33333333
2572,T Langa,Vanuatu,1,0,14,9,1,14,155.5555556,9,9
2573,T Letsitsa,Lesotho,1,1,0,4,0,0,0,4,inf
2574,T Lungameni,Namibia,1,1,2,2,0,2,100,2,inf
2575,T Manders,Bermuda,9,1,347,253,8,43.375,137.1541502,28.11111111,31.625
2576,T Maruma,Zimbabwe,9,3,86,87,6,14.33333333,98.85057471,9.666666667,14.5
2577,T Marumani,Zimbabwe,16,0,170,185,16,10.625,91.89189189,11.5625,11.5625
2578,T Mishra,Kenya,12,0,206,226,12,17.16666667,91.15044248,18.83333333,18.83333333
2579,T Munyonga,Zimbabwe,9,1,129,129,8,16.125,100,14.33333333,16.125
2580,T Muzarabani,Zimbabwe,1,1,0,2,0,0,0,2,inf
2581,T Nightingale,Guernsey,12,2,191,180,10,19.1,106.1111111,15,18
2582,T Panyangara,Zimbabwe,5,4,23,17,1,23,135.2941176,3.4,17
2583,T Parima,Cook Islands,5,1,63,47,4,15.75,134.0425532,9.4,11.75
2584,T Perera,Botswana,13,2,228,250,11,20.72727273,91.2,19.23076923,22.72727273
2585,T Phaswana,Botswana,1,0,0,3,1,0,0,3,3
2586,T Rajiv,Seychelles,5,0,83,67,5,16.6,123.880597,13.4,13.4
2587,T Ritawa,Cook Islands,2,0,7,6,2,3.5,116.6666667,3,3
2588,T Rossi,Argentina,8,1,23,38,7,3.285714286,60.52631579,4.75,5.428571429
2589,T Sandeep,Eswatini,5,1,137,127,4,34.25,107.8740157,25.4,31.75
2590,T Shamsi,South Africa,11,7,9,24,4,2.25,37.5,2.181818182,6
2591,T Shanmugam,Seychelles,1,1,8,10,0,8,80,10,inf
2592,T Singye,Bhutan,2,0,17,25,2,8.5,68,12.5,12.5
2593,T Stubbs,South Africa,9,1,173,104,8,21.625,166.3461538,11.55555556,13
2594,T Taibu,Zimbabwe,11,4,165,154,7,23.57142857,107.1428571,14,22
2595,T Takada,Japan,2,1,18,16,1,18,112.5,8,16
2596,T Taylor,Cayman Islands,9,3,86,111,6,14.33333333,77.47747748,12.33333333,18.5
2597,T Thushara,Sri Lanka,2,0,4,8,2,2,50,4,4
2598,T Tshose,Botswana,16,5,170,121,11,15.45454545,140.4958678,7.5625,11
2599,T Turan,Turkey,2,0,0,6,2,0,0,3,3
2600,T Ulutuna,Turkey,1,0,1,2,1,1,50,2,2
2601,T Vanuarua,Cook Islands,2,-1,12,11,3,4,109.0909091,5.5,3.666666667
2602,T Wangchuk,Bhutan,6,0,12,20,6,2,60,3.333333333,3.333333333
2603,T Whiteman,Luxembourg,7,2,136,115,5,27.2,118.2608696,16.42857143,23
2604,T Yotharat,Thailand,2,2,10,17,0,10,58.82352941,8.5,inf
2605,T Zotos,Greece,4,1,7,9,3,2.333333333,77.77777778,2.25,3
2606,T van der Gugten,Netherlands,11,3,109,82,8,13.625,132.9268293,7.454545455,10.25
2607,TA Blundell,New Zealand,6,2,59,74,4,14.75,79.72972973,12.33333333,18.5
2608,TA Boult,New Zealand,9,5,29,34,4,7.25,85.29411765,3.777777778,8.5
2609,TAM Siriwardana,Sri Lanka,19,3,275,205,16,17.1875,134.1463415,10.78947368,12.8125
2610,TAW Patterson,Belize,3,0,23,47,3,7.666666667,48.93617021,15.66666667,15.66666667
2611,TB Sole,Scotland,6,2,69,43,4,17.25,160.4651163,7.166666667,10.75
2612,TB de Bruyn,South Africa,2,0,26,16,2,13,162.5,8,8
2613,TC Barker,Luxembourg,24,1,531,412,23,23.08695652,128.8834951,17.16666667,17.91304348
2614,TC Bruce,New Zealand,15,2,276,218,13,21.23076923,126.6055046,14.53333333,16.76923077
2615,TCR Kimber,Guernsey,3,0,5,13,3,1.666666667,38.46153846,4.333333333,4.333333333
2616,TCW Veillard,Guernsey,1,1,3,5,0,3,60,5,inf
2617,TD Astle,New Zealand,2,0,4,10,2,2,40,5,5
2618,TD Chaoana,Lesotho,6,2,27,37,4,6.75,72.97297297,6.166666667,9.25
2619,TD Paine,ICC World XI/Australia,8,0,82,77,8,10.25,106.4935065,9.625,9.625
2620,TE Kane,Ireland,4,1,45,34,3,15,132.3529412,8.5,11.33333333
2621,TG Gordon,Canada,3,0,32,37,3,10.66666667,86.48648649,12.33333333,12.33333333
2622,TG Southee,New Zealand,37,14,238,172,23,10.34782609,138.372093,4.648648649,7.47826087
2623,TG Thamae,Lesotho,5,0,6,17,5,1.2,35.29411765,3.4,3.4
2624,TGJ Gruijters,Netherlands,4,2,40,40,2,20,100,10,20
2625,TH David,Australia/Singapore,23,3,740,460,20,37,160.8695652,20,23
2626,TJ Murtagh,Ireland,4,3,23,20,1,23,115,5,20
2627,TJ Stephenson,Belize,1,1,7,5,0,7,140,5,inf
2628,TJG Pringle,Netherlands,9,1,66,78,8,8.25,84.61538462,8.666666667,9.75
2629,TK Curran,England,11,6,52,47,5,10.4,110.6382979,4.272727273,9.4
2630,TK Joseph,Ghana,12,3,78,78,9,8.666666667,100,6.5,8.666666667
2631,TK Lal,Czech Republic,1,1,3,2,0,3,150,2,inf
2632,TK Musakanda,Zimbabwe,12,0,197,164,12,16.41666667,120.1219512,13.66666667,13.66666667
2633,TK Patel,United States of America,2,2,3,4,0,3,75,2,inf
2634,TKP Rajapaksha,Seychelles,2,0,10,18,2,5,55.55555556,9,9
2635,TL Best,West Indies,1,1,17,9,0,17,188.8888889,9,inf
2636,TL Chatara,Zimbabwe,10,5,43,58,5,8.6,74.13793103,5.8,11.6
2637,TL Seifert,New Zealand,39,5,899,665,34,26.44117647,135.1879699,17.05128205,19.55882353
2638,TLW Cooper,Netherlands,30,3,599,477,27,22.18518519,125.5765199,15.9,17.66666667
2639,TM Dilshan,Sri Lanka,71,10,1689,1384,61,27.68852459,122.0375723,19.49295775,22.68852459
2640,TM Dowlin,West Indies,2,1,68,68,1,68,100,34,68
2641,TM Head,Australia,16,3,345,259,13,26.53846154,133.2046332,16.1875,19.92307692
2642,TM Macalou,Mali,4,1,26,47,3,8.666666667,55.31914894,11.75,15.66666667
2643,TM Odoyo,Kenya,7,0,65,79,7,9.285714286,82.27848101,11.28571429,11.28571429
2644,TN de Grooth,Netherlands,10,3,139,132,7,19.85714286,105.3030303,13.2,18.85714286
2645,TP Allen,United States of America,2,1,20,14,1,20,142.8571429,7,14
2646,TP Ura,Papua New Guinea,37,4,1106,693,33,33.51515152,159.5959596,18.72972973,21
2647,TP Visee,Netherlands,27,0,479,319,27,17.74074074,150.1567398,11.81481481,11.81481481
2648,TR Birt,Australia,3,0,31,33,3,10.33333333,93.93939394,11,11
2649,TS Braat,Netherlands,2,1,31,29,1,31,106.8965517,14.5,29
2650,TS Chisoro,Zimbabwe,7,3,43,47,4,10.75,91.4893617,6.714285714,11.75
2651,TS Fray,Bermuda,12,2,160,167,10,16,95.80838323,13.91666667,16.7
2652,TS Kamunhukamwe,Zimbabwe,8,0,146,150,8,18.25,97.33333333,18.75,18.75
2653,TS Mills,England,3,1,8,11,2,4,72.72727273,3.666666667,5.5
2654,TS Waqavakatoga,Fiji,3,0,24,23,3,8,104.3478261,7.666666667,7.666666667
2655,TSS Mackintosh,Scotland,1,0,16,14,1,16,114.2857143,14,14
2656,TT Bresnan,England,19,7,194,159,12,16.16666667,122.0125786,8.368421053,13.25
2657,TW Samuels,Belize,5,1,32,43,4,8,74.41860465,8.6,10.75
2658,TWM Latham,New Zealand,20,3,472,444,17,27.76470588,106.3063063,22.2,26.11764706
2659,Tafseer Ali,Norway,8,2,59,91,6,9.833333333,64.83516484,11.375,15.16666667
2660,Taher Muhammad,Slovenia,4,0,19,33,4,4.75,57.57575758,8.25,8.25
2661,Taijul Islam,Bangladesh,1,1,0,1,0,0,0,1,inf
2662,Talha Khan,Germany,26,4,486,466,22,22.09090909,104.2918455,17.92307692,21.18181818
2663,Tamim Iqbal,Bangladesh/ICC World XI,70,4,1608,1356,66,24.36363636,118.5840708,19.37142857,20.54545455
2664,Tamoor Sajjad,Qatar,6,1,167,138,5,33.4,121.0144928,23,27.6
2665,Tanveer Ahmed,Hong Kong,2,1,7,11,1,7,63.63636364,5.5,11
2666,Tanwir Afzal,Hong Kong,17,2,177,150,15,11.8,118,8.823529412,10
2667,Tanzeel Sheikh,Kenya,1,0,0,2,1,0,0,2,2
2668,Taranjeet Singh,Romania,23,2,776,456,21,36.95238095,170.1754386,19.82608696,21.71428571
2669,Tariq Aziz,Portugal,3,0,27,36,3,9,75,12,12
2670,Tarun Yadav,Bulgaria,2,0,14,10,2,7,140,5,5
2671,Tasaduq Hussain,Sweden,2,0,2,6,2,1,33.33333333,3,3
2672,Tashi Phuntsho,Bhutan,2,0,25,32,2,12.5,78.125,16,16
2673,Taskin Ahmed,Bangladesh,24,10,115,123,14,8.214285714,93.49593496,5.125,8.785714286
2674,Tauqeer Hussain,Spain,2,1,6,10,1,6,60,5,10
2675,Tayyab Tahir,Pakistan,3,0,39,41,3,13,95.12195122,13.66666667,13.66666667
2676,Tejwinder Singh,Cyprus,7,0,75,37,7,10.71428571,202.7027027,5.285714286,5.285714286
2677,Tenjin Rabgey,Bhutan,8,0,133,159,8,16.625,83.64779874,19.875,19.875
2678,Tenzin Wangchuk jnr,Bhutan,2,0,9,17,2,4.5,52.94117647,8.5,8.5
2679,Thuya Aung,Myanmar,4,0,17,48,4,4.25,35.41666667,12,12
2680,Tian Sen Qun,China,4,0,2,9,4,0.5,22.22222222,2.25,2.25
2681,Tilak Varma,India,7,2,174,126,5,34.8,138.0952381,18,25.2
2682,Towhid Hridoy,Bangladesh,7,1,156,115,6,26,135.6521739,16.42857143,19.16666667
2683,U Aryaman Sunil,Singapore,21,5,191,149,16,11.9375,128.1879195,7.095238095,9.3125
2684,U Bhatti,Canada,2,0,19,14,2,9.5,135.7142857,7,7
2685,U Dorji,Bhutan,2,0,16,17,2,8,94.11764706,8.5,8.5
2686,U Shahid,France,4,0,96,90,4,24,106.6666667,22.5,22.5
2687,U Sofi,Samoa,1,0,8,6,1,8,133.3333333,6,6
2688,UNGB Thenannahelage,Czech Republic,3,0,21,24,3,7,87.5,8,8
2689,UT Khawaja,Australia,9,0,241,182,9,26.77777778,132.4175824,20.22222222,20.22222222
2690,UT Yadav,India,2,1,22,20,1,22,110,10,20
2691,UWMBCA Welegedara,Sri Lanka,1,1,2,3,0,2,66.66666667,3,inf
2692,Umair Ali,United Arab Emirates,3,2,22,18,1,22,122.2222222,6,18
2693,Umair Qasim,Swaziland/Eswatini,9,0,45,55,9,5,81.81818182,6.111111111,6.111111111
2694,Umair Tariq,Austria,6,1,37,45,5,7.4,82.22222222,7.5,9
2695,Umar Adam,Maldives,14,1,198,173,13,15.23076923,114.4508671,12.35714286,13.30769231
2696,Umar Akmal,Pakistan,74,14,1546,1261,60,25.76666667,122.6011102,17.04054054,21.01666667
2697,Umar Amin,Pakistan,9,0,142,122,9,15.77777778,116.3934426,13.55555556,13.55555556
2698,Umar Gul,Pakistan,25,7,165,155,18,9.166666667,106.4516129,6.2,8.611111111
2699,Umar Nawaz,Sweden,9,0,189,188,9,21,100.5319149,20.88888889,20.88888889
2700,Umer Imtiaz,Bahrain,8,0,163,134,8,20.375,121.641791,16.75,16.75
2701,Umran Malik,India,2,2,5,2,0,5,250,1,inf
2702,Usman Arif,Norway,7,0,123,57,7,17.57142857,215.7894737,8.142857143,8.142857143
2703,Usman Ghani,Afghanistan,30,2,689,642,28,24.60714286,107.3208723,21.4,22.92857143
2704,Usman Khalid,Saudi Arabia,1,0,16,14,1,16,114.2857143,14,14
2705,Usman Khan,France,11,2,307,242,9,34.11111111,126.8595041,22,26.88888889
2706,Usman Limbada,Canada,3,2,53,41,1,53,129.2682927,13.66666667,41
2707,Usman Mushtaq,United Arab Emirates,3,2,36,44,1,36,81.81818182,14.66666667,44
2708,Usman Najeeb,Saudi Arabia,4,0,55,48,4,13.75,114.5833333,12,12
2709,Usman Patel,Kuwait,15,2,335,262,13,25.76923077,127.8625954,17.46666667,20.15384615
2710,Usman Qadir,Pakistan,7,3,31,27,4,7.75,114.8148148,3.857142857,6.75
2711,Usman Shinwari,Pakistan,1,1,2,3,0,2,66.66666667,3,inf
2712,Usman Waheed,Kuwait,3,1,44,38,2,22,115.7894737,12.66666667,19
2713,V Aravind,United Arab Emirates,27,3,700,591,24,29.16666667,118.4433164,21.88888889,24.625
2714,V Aritharan,Germany,2,1,19,15,1,19,126.6666667,7.5,15
2715,V Ateak,Ghana,1,1,1,2,0,1,50,2,inf
2716,V Balakrishnan,Botswana,17,3,245,251,14,17.5,97.60956175,14.76470588,17.92857143
2717,V Baskaran,Singapore,15,4,53,85,11,4.818181818,62.35294118,5.666666667,7.727272727
2718,V Ganesan,Germany,30,6,468,443,24,19.5,105.6433409,14.76666667,18.45833333
2719,V Hampihallikar,Singapore,3,0,15,40,3,5,37.5,13.33333333,13.33333333
2720,V Hristov,Bulgaria,2,0,7,11,2,3.5,63.63636364,5.5,5.5
2721,V Jagannivasan,Czech Republic,5,1,21,34,4,5.25,61.76470588,6.8,8.5
2722,V Jayant,Lesotho,3,0,6,17,3,2,35.29411765,5.666666667,5.666666667
2723,V Kohli,India,100,29,3789,2701,71,53.36619718,140.2813773,27.01,38.04225352
2724,V Mbazo,Botswana,19,2,190,219,17,11.17647059,86.75799087,11.52631579,12.88235294
2725,V Mitari,Rwanda,5,2,4,11,3,1.333333333,36.36363636,2.2,3.666666667
2726,V Pulibanti,Croatia,2,0,0,5,2,0,0,2.5,2.5
2727,V Ravindran,Hungary,2,0,57,37,2,28.5,154.0540541,18.5,18.5
2728,V Saini,Romania,28,8,619,490,20,30.95,126.3265306,17.5,24.5
2729,V Sehwag,India,17,0,389,268,17,22.88235294,145.1492537,15.76470588,15.76470588
2730,V Shankar,India,4,0,101,73,4,25.25,138.3561644,18.25,18.25
2731,V Shetty,United Arab Emirates,2,1,11,13,1,11,84.61538462,6.5,13
2732,V Sibanda,Zimbabwe,26,1,511,501,25,20.44,101.996008,19.26923077,20.04
2733,V Vijh,Luxembourg,24,3,465,408,21,22.14285714,113.9705882,17,19.42857143
2734,V Zanko,Croatia,5,0,48,112,5,9.6,42.85714286,22.4,22.4
2735,V Zimonjic,Serbia,11,4,104,81,7,14.85714286,128.3950617,7.363636364,11.57142857
2736,VB Chikkannaiah,Germany,20,1,416,412,19,21.89473684,100.9708738,20.6,21.68421053
2737,VB van Jaarsveld,South Africa,3,0,15,23,3,5,65.2173913,7.666666667,7.666666667
2738,VC Ahir,Panama,3,1,27,22,2,13.5,122.7272727,7.333333333,11
2739,VD Adewoye,Nigeria,11,1,71,79,10,7.1,89.87341772,7.181818182,7.9
2740,VD Philander,South Africa,4,0,14,27,4,3.5,51.85185185,6.75,6.75
2741,VE Tembo,Mozambique,5,1,36,49,4,9,73.46938776,9.8,12.25
2742,VJ Kingma,Netherlands,2,1,4,10,1,4,40,5,10
2743,VL Mukesh,Seychelles,4,0,10,16,4,2.5,62.5,4,4
2744,VM Nyauchi,Zimbabwe,1,1,1,3,0,1,33.33333333,3,inf
2745,VM Vaghela,United States of America,1,0,29,32,1,29,90.625,32,32
2746,VN Veetil,Qatar,4,2,56,55,2,28,101.8181818,13.75,27.5
2747,VP Thamotharam,Malta,38,6,831,576,32,25.96875,144.2708333,15.15789474,18
2748,VR Iyer,India,7,3,133,82,4,33.25,162.195122,11.71428571,20.5
2749,VS Padhaal,Finland,13,2,160,177,11,14.54545455,90.39548023,13.61538462,16.09090909
2750,VS Solanki,England,3,0,76,61,3,25.33333333,124.5901639,20.33333333,20.33333333
2751,VS Wategaonkar,Oman,1,0,14,14,1,14,100,14,14
2752,VV Morea,Papua New Guinea,4,0,34,39,4,8.5,87.17948718,9.75,9.75
2753,Vichanath Singh,Thailand,9,1,54,95,8,6.75,56.84210526,10.55555556,11.875
2754,Vikramjit Singh,Netherlands,7,0,75,83,7,10.71428571,90.36144578,11.85714286,11.85714286
2755,Vimal Kumar,Philippines,2,1,18,36,1,18,50,18,36
2756,Vinay Iyer,Japan,1,0,6,10,1,6,60,10,10
2757,Vinay Ravi,Norway,9,4,56,45,5,11.2,124.4444444,5,9
2758,Vinod Kumar,Spain,1,0,3,4,1,3,75,4,4
2759,Virandeep Singh,Malaysia,47,6,1389,1125,41,33.87804878,123.4666667,23.93617021,27.43902439
2760,Virk Ali,France,4,1,76,80,3,25.33333333,95,20,26.66666667
2761,Vishil Patel,Kenya,1,0,0,2,1,0,0,2,2
2762,Vraj Patel,Kenya,1,1,1,1,0,1,100,1,inf
2763,W Barresi,Netherlands,35,6,721,637,29,24.86206897,113.1868132,18.2,21.96551724
2764,W Behr,Germany,4,1,19,18,3,6.333333333,105.5555556,4.5,6
2765,W Boshoff,Sweden,12,0,164,195,12,13.66666667,84.1025641,16.25,16.25
2766,W Dlamini,Eswatini,2,0,6,12,2,3,50,6,6
2767,W Kokaua,Cook Islands,1,1,2,4,0,2,50,4,inf
2768,W Madhevere,Zimbabwe,45,1,885,742,44,20.11363636,119.2722372,16.48888889,16.86363636
2769,W McClintock,Ireland,4,1,34,38,3,11.33333333,89.47368421,9.5,12.66666667
2770,W Miyauchi,Japan,3,0,26,38,3,8.666666667,68.42105263,12.66666667,12.66666667
2771,W Nalisa,Vanuatu,5,1,12,13,4,3,92.30769231,2.6,3.25
2772,W Niyitanga,Rwanda,24,2,324,364,22,14.72727273,89.01098901,15.16666667,16.54545455
2773,W Peatfield,Guernsey,4,2,14,12,2,7,116.6666667,3,6
2774,W Uisuk,Thailand,4,0,11,40,4,2.75,27.5,10,10
2775,W Viraliliu,Vanuatu,3,1,8,10,2,4,80,3.333333333,5
2776,W Wotu,Vanuatu,3,0,36,34,3,12,105.8823529,11.33333333,11.33333333
2777,WA Young,New Zealand,12,0,254,246,12,21.16666667,103.2520325,20.5,20.5
2778,WAE Burton,Serbia,17,2,314,197,15,20.93333333,159.3908629,11.58823529,13.13333333
2779,WB Rankin,Ireland,15,8,64,72,7,9.142857143,88.88888889,4.8,10.28571429
2780,WD Parnell,South Africa,21,11,174,179,10,17.4,97.20670391,8.523809524,17.9
2781,WG Jacks,England,2,0,40,25,2,20,160,12.5,12.5
2782,WIA Fernando,Sri Lanka,29,2,316,337,27,11.7037037,93.76854599,11.62068966,12.48148148
2783,WJ Cope,Luxembourg,21,5,190,164,16,11.875,115.8536585,7.80952381,10.25
2784,WJ Lubbe,South Africa,2,0,16,10,2,8,160,5,5
2785,WJ Malinda,Maldives,5,1,14,22,4,3.5,63.63636364,4.4,5.5
2786,WJR Robertson,Jersey,1,1,1,2,0,1,50,2,inf
2787,WK Bitis,Croatia,7,1,93,72,6,15.5,129.1666667,10.28571429,12
2788,WK McCallan,Ireland,3,2,11,15,1,11,73.33333333,5,15
2789,WKD Perkins,West Indies,1,0,9,11,1,9,81.81818182,11,11
2790,WL Madsen,Italy,4,0,95,67,4,23.75,141.7910448,16.75,16.75
2791,WP Masakadza,Zimbabwe,20,7,87,107,13,6.692307692,81.30841121,5.35,8.230769231
2792,WPUJC Vaas,Sri Lanka,2,1,33,39,1,33,84.61538462,19.5,39
2793,WT Gavera,Papua New Guinea,2,0,3,6,2,1.5,50,3,3
2794,WTS Porterfield,Ireland,49,4,924,833,45,20.53333333,110.9243697,17,18.51111111
2795,WU Tharanga,Sri Lanka,26,1,407,329,25,16.28,123.7082067,12.65384615,13.16
2796,WW Hinds,West Indies,3,0,16,23,3,5.333333333,69.56521739,7.666666667,7.666666667
2797,Wahab Riaz,Pakistan,14,2,154,123,12,12.83333333,125.203252,8.785714286,10.25
2798,Waheed Ahmed,United Arab Emirates,12,6,124,105,6,20.66666667,118.0952381,8.75,17.5
2799,Wahidullah Sahak,Norway,8,0,103,117,8,12.875,88.03418803,14.625,14.625
2800,Wahidullah Usmani,Belgium,6,0,138,137,6,23,100.729927,22.83333333,22.83333333
2801,Waleed Rana,Italy,3,0,37,48,3,12.33333333,77.08333333,16,16
2802,Walid Ghauri,Norway,6,0,116,130,6,19.33333333,89.23076923,21.66666667,21.66666667
2803,Wang Liuyang,China,4,0,28,51,4,7,54.90196078,12.75,12.75
2804,Wang Qi,China,4,1,3,16,3,1,18.75,4,5.333333333
2805,Waqar Abbasi,Romania,1,0,0,4,1,0,0,4,4
2806,Waqar Ali,Cyprus,1,1,2,2,0,2,100,2,inf
2807,Waqar Khan,Slovenia,3,0,13,10,3,4.333333333,130,3.333333333,3.333333333
2808,Waqas Ahmad,Malta,12,4,161,100,8,20.125,161,8.333333333,12.5
2809,Waqas Barkat,Hong Kong,23,2,285,303,21,13.57142857,94.05940594,13.17391304,14.42857143
2810,Waqas Haider,Sweden,3,1,35,21,2,17.5,166.6666667,7,10.5
2811,Waqas Khan,Hong Kong,14,4,164,189,10,16.4,86.77248677,13.5,18.9
2812,Waseem Muhammad,United Arab Emirates,26,1,1005,685,25,40.2,146.7153285,26.34615385,27.4
2813,Waseem Yaqoob,Lesotho,4,0,83,92,4,20.75,90.2173913,23,23
2814,Waseeq Ahmed,Bahrain,2,2,2,3,0,2,66.66666667,1.5,inf
2815,Washeem Abbas,Malta,16,7,55,52,9,6.111111111,105.7692308,3.25,5.777777778
2816,Washington Sundar,India,12,3,104,65,9,11.55555556,160,5.416666667,7.222222222
2817,Wasim Ali,Oman,1,0,1,4,1,1,25,4,4
2818,Wei Guo Lei,China,4,0,30,49,4,7.5,61.2244898,12.25,12.25
2819,XJ Doherty,Australia,4,3,18,17,1,18,105.8823529,4.25,17
2820,XM Marshall,United States of America/West Indies,13,0,179,187,13,13.76923077,95.72192513,14.38461538,14.38461538
2821,Xie Kunkun,China,4,0,8,36,4,2,22.22222222,9,9
2822,Y Cariah,West Indies,2,2,3,4,0,3,75,2,inf
2823,Y Naing Tun,Myanmar,4,0,49,80,4,12.25,61.25,20,20
2824,Y Saranonnakkun,Thailand,6,1,17,27,5,3.4,62.96296296,4.5,5.4
2825,YBK Jaiswal,India,5,1,132,91,4,33,145.0549451,18.2,22.75
2826,YK Pathan,India,18,5,236,161,13,18.15384615,146.5838509,8.944444444,12.38461538
2827,YM Nkanya,Tanzania,2,1,0,2,1,0,0,1,2
2828,YS Chahal,India,5,4,5,10,1,5,50,2,10
2829,YSD Seneveratne,Cayman Islands,10,0,171,188,10,17.1,90.95744681,18.8,18.8
2830,YYM Jakda,Lesotho,10,0,24,24,10,2.4,100,2.4,2.4
2831,Yadwinder Singh,Hungary,1,1,9,13,0,9,69.23076923,13,inf
2832,Yair Nagavkar,Israel,2,1,11,11,1,11,100,5.5,11
2833,Yash Singh,Malta,1,0,3,12,1,3,25,12,12
2834,Yasim Murtaza,Hong Kong,13,1,272,233,12,22.66666667,116.7381974,17.92307692,19.41666667
2835,Yasin Patel,Kuwait,2,2,9,8,0,9,112.5,4,inf
2836,Yasir Ali,Spain,20,4,425,404,16,26.5625,105.1980198,20.2,25.25
